collision_index,collision_year,collision_ref_no,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_injury_based,casualty_adjusted_severity_serious,casualty_adjusted_severity_slight,casualty_distance_banding
2020360945135,2020,360945135,2,1,1,1,57,9,3,0,0,0,0,0,1,1,E01026827,3,1,0,1,-1
2020122000966,2020,122000966,2,5,2,2,56,9,3,0,0,2,0,0,9,7,E01025028,-1,0,0.05567,0.94433,-1
2020340D80072,2020,340D80072,3,4,2,1,54,8,3,0,0,1,0,0,9,-1,-1,-1,0,0.09884,0.90116,-1
2020460992032,2020,460992032,1,2,2,2,29,6,3,0,0,1,0,0,9,1,E01024612,3,1,0,1,-1
2020501022354,2020,501022354,2,2,1,1,73,10,3,0,0,0,0,0,9,5,E01019067,3,1,0,1,-1
2020040973352,2020,040973352,2,2,1,1,46,8,3,0,0,0,0,0,9,5,E01012635,3,1,0,1,-1
2020430295175,2020,430295175,1,2,2,1,23,5,2,0,0,1,0,0,9,-1,-1,-1,0,1,0,-1
2020010236584,2020,010236584,1,1,3,1,7,2,3,5,3,0,0,0,0,7,E01000400,-1,0,0,1,-1
2020140979463,2020,140979463,1,1,3,2,3,1,3,5,9,0,0,0,0,-1,-1,3,1,0,1,-1
2020122001352,2020,122001352,2,2,2,2,50,8,3,0,0,1,0,0,9,3,E01013445,-1,0,0.02834,0.97166,-1
2020170L30120,2020,170L30120,1,1,1,1,69,10,3,0,0,0,0,0,9,7,E01012186,-1,0,0.08399,0.91601,-1
202006N174952,2020,06N174952,1,1,3,1,30,6,3,5,9,0,0,0,0,-1,-1,-1,0,0.11033,0.88967,-1
2020420994727,2020,420994727,3,1,1,1,62,9,3,0,0,0,0,0,9,8,E01017983,3,1,0,1,-1
2020470974722,2020,470974722,1,1,1,2,26,6,3,0,0,0,0,0,9,9,E01031761,3,1,0,1,-1
